Load earlier flights,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Loading...,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
"Sorry, we don't have any information about flights for this airport",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:27 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:30 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 19:38 20:00 TIV740 San Jose(SJC) C700N740VMThrive -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 11:44 10:30  Medford(MFR) C550N510JC -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:23 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:32 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:27 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:30 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 19:38 20:00 TIV740 San Jose(SJC) C700N740VMThrive -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 11:44 10:30  Medford(MFR) C550N510JC -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:23 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:32 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:27 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:30 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 19:38 20:00 TIV740 San Jose(SJC) C700N740VMThrive -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 11:44 10:30  Medford(MFR) C550N510JC -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:23 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:32 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:27 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:30 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 19:38 20:00 TIV740 San Jose(SJC) C700N740VMThrive -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 11:44 10:30  Medford(MFR) C550N510JC -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:23 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:32 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:27 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:30 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 19:38 20:00 TIV740 San Jose(SJC) C700N740VMThrive -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 11:44 10:30  Medford(MFR) C550N510JC -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 17:23 17:05 A81985 Portland(PDX) BE99N4299AAmeriflight -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
Departed 16:32 17:10 EM7669 Portland(PDX) C208N897FEFedEx Feeder -,,,,,,,Corvallis Municipal Airport(CVO/KCVO)
"Monday, Mar 11",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:27,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:30,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
20:00,TIV740,San Jose (SJC)-,Thrive -,C700 (N740VM),,Departed 19:38,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
10:30,,Medford (MFR)-,-,C550 (N510JC),,Departed 11:44,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:23,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:32,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:27,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:30,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
20:00,TIV740,San Jose (SJC)-,Thrive -,C700 (N740VM),,Departed 19:38,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
10:30,,Medford (MFR)-,-,C550 (N510JC),,Departed 11:44,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:23,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:32,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:27,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:30,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
20:00,TIV740,San Jose (SJC)-,Thrive -,C700 (N740VM),,Departed 19:38,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
10:30,,Medford (MFR)-,-,C550 (N510JC),,Departed 11:44,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:23,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:32,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
17:05,A81985,Portland (PDX)-,Ameriflight -,BE99 (N4299A),,Departed 17:27,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
17:10,EM7669,Portland (PDX)-,FedEx Feeder -,C208 (N897FE),,Departed 16:30,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
20:00,TIV740,San Jose (SJC)-,Thrive -,C700 (N740VM),,Departed 19:38,Corvallis Municipal Airport(CVO/KCVO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Corvallis Municipal Airport(CVO/KCVO)
10:30,,Medford (MFR)-,-,C550 (N510JC),,Departed 11:44,Corvallis Municipal Airport(CVO/KCVO),"Tuesday, Mar 12 2024"
