Load earlier flights,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Loading...,,,,,,,Ankeny Regional Airport(QQK/KIKV)
"Sorry, we don't have any information about flights for this airport",,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 18:02 18:00 SLH816 Scottsdale(SCF) C560N816SHSilverhawk Aviation -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 08:19 08:20  Huntingburg(HNB) C82RN515BB -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 12:49 13:00  Sioux Falls(FSD) BE40N924BD -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 16:08 16:00  Kearney(EAR) PA46N774DM -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 18:02 18:00 SLH816 Scottsdale(SCF) C560N816SHSilverhawk Aviation -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 08:19 08:20  Huntingburg(HNB) C82RN515BB -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 12:49 13:00  Sioux Falls(FSD) BE40N924BD -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 16:08 16:00  Kearney(EAR) PA46N774DM -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 18:02 18:00 SLH816 Scottsdale(SCF) C560N816SHSilverhawk Aviation -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 08:19 08:20  Huntingburg(HNB) C82RN515BB -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 12:49 13:00  Sioux Falls(FSD) BE40N924BD -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 16:08 16:00  Kearney(EAR) PA46N774DM -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 18:02 18:00 SLH816 Scottsdale(SCF) C560N816SHSilverhawk Aviation -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 08:19 08:20  Huntingburg(HNB) C82RN515BB -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 12:49 13:00  Sioux Falls(FSD) BE40N924BD -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 16:08 16:00  Kearney(EAR) PA46N774DM -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 18:02 18:00 SLH816 Scottsdale(SCF) C560N816SHSilverhawk Aviation -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 08:19 08:20  Huntingburg(HNB) C82RN515BB -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 12:49 13:00  Sioux Falls(FSD) BE40N924BD -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Departed 16:08 16:00  Kearney(EAR) PA46N774DM -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
Estimated dep.  07:22 07:06  Des Moines(DSM) BE40N424SK -,,,,,,,Ankeny Regional Airport(QQK/KIKV)
"Monday, Mar 11",,,,,,,Ankeny Regional Airport(QQK/KIKV)
18:00,SLH816,Scottsdale (SCF)-,Silverhawk Aviation -,C560 (N816SH),,Departed 18:02,Ankeny Regional Airport(QQK/KIKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ankeny Regional Airport(QQK/KIKV)
08:20,,Huntingburg (HNB)-,-,C82R (N515BB),,Departed 08:19,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
13:00,,Sioux Falls (FSD)-,-,BE40 (N924BD),,Departed 12:49,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
16:00,,Kearney (EAR)-,-,PA46 (N774DM),,Departed 16:08,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ankeny Regional Airport(QQK/KIKV)
18:00,SLH816,Scottsdale (SCF)-,Silverhawk Aviation -,C560 (N816SH),,Departed 18:02,Ankeny Regional Airport(QQK/KIKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ankeny Regional Airport(QQK/KIKV)
08:20,,Huntingburg (HNB)-,-,C82R (N515BB),,Departed 08:19,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
13:00,,Sioux Falls (FSD)-,-,BE40 (N924BD),,Departed 12:49,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
16:00,,Kearney (EAR)-,-,PA46 (N774DM),,Departed 16:08,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ankeny Regional Airport(QQK/KIKV)
18:00,SLH816,Scottsdale (SCF)-,Silverhawk Aviation -,C560 (N816SH),,Departed 18:02,Ankeny Regional Airport(QQK/KIKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ankeny Regional Airport(QQK/KIKV)
08:20,,Huntingburg (HNB)-,-,C82R (N515BB),,Departed 08:19,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
13:00,,Sioux Falls (FSD)-,-,BE40 (N924BD),,Departed 12:49,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
16:00,,Kearney (EAR)-,-,PA46 (N774DM),,Departed 16:08,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ankeny Regional Airport(QQK/KIKV)
18:00,SLH816,Scottsdale (SCF)-,Silverhawk Aviation -,C560 (N816SH),,Departed 18:02,Ankeny Regional Airport(QQK/KIKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ankeny Regional Airport(QQK/KIKV)
08:20,,Huntingburg (HNB)-,-,C82R (N515BB),,Departed 08:19,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
13:00,,Sioux Falls (FSD)-,-,BE40 (N924BD),,Departed 12:49,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
16:00,,Kearney (EAR)-,-,PA46 (N774DM),,Departed 16:08,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ankeny Regional Airport(QQK/KIKV)
18:00,SLH816,Scottsdale (SCF)-,Silverhawk Aviation -,C560 (N816SH),,Departed 18:02,Ankeny Regional Airport(QQK/KIKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ankeny Regional Airport(QQK/KIKV)
08:20,,Huntingburg (HNB)-,-,C82R (N515BB),,Departed 08:19,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
13:00,,Sioux Falls (FSD)-,-,BE40 (N924BD),,Departed 12:49,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
16:00,,Kearney (EAR)-,-,PA46 (N774DM),,Departed 16:08,Ankeny Regional Airport(QQK/KIKV),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Ankeny Regional Airport(QQK/KIKV)
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
07:06,,Des Moines (DSM)-,-,BE40 (N424SK),,Estimated dep.  07:22,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Ankeny Regional Airport(QQK/KIKV),"Wednesday, Mar 13 2024"
