Load earlier flights,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Loading...,,,,,,,Brownwood Regional Airport(BWD/KBWD)
"Sorry, we don't have any information about flights for this airport",,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:25 18:10  Tyler(TYR) BE20N98KC -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:04 07:53 BVN8754 Austin(AUS) C208N939FEFedEx Feeder -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:24 08:32 MRA643 San Antonio(SAT) C208N1031PMartinaire -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Unknown  13:34 LXJ500 Rifle(RIL) CL5Flexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 17:29 17:26 LXJ565 Rifle(RIL) CL35N565FXFlexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:18 18:41  Dallas(DAL) C56XN539WA -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:25 18:10  Tyler(TYR) BE20N98KC -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:04 07:53 BVN8754 Austin(AUS) C208N939FEFedEx Feeder -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:24 08:32 MRA643 San Antonio(SAT) C208N1031PMartinaire -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Unknown  13:34 LXJ500 Rifle(RIL) CL5Flexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 17:29 17:26 LXJ565 Rifle(RIL) CL35N565FXFlexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:18 18:41  Dallas(DAL) C56XN539WA -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:25 18:10  Tyler(TYR) BE20N98KC -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:04 07:53 BVN8754 Austin(AUS) C208N939FEFedEx Feeder -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:24 08:32 MRA643 San Antonio(SAT) C208N1031PMartinaire -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Unknown  13:34 LXJ500 Rifle(RIL) CL5Flexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 17:29 17:26 LXJ565 Rifle(RIL) CL35N565FXFlexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:18 18:41  Dallas(DAL) C56XN539WA -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:25 18:10  Tyler(TYR) BE20N98KC -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:04 07:53 BVN8754 Austin(AUS) C208N939FEFedEx Feeder -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:24 08:32 MRA643 San Antonio(SAT) C208N1031PMartinaire -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Unknown  13:34 LXJ500 Rifle(RIL) CL5Flexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 17:29 17:26 LXJ565 Rifle(RIL) CL35N565FXFlexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:18 18:41  Dallas(DAL) C56XN539WA -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:25 18:10  Tyler(TYR) BE20N98KC -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:04 07:53 BVN8754 Austin(AUS) C208N939FEFedEx Feeder -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 08:24 08:32 MRA643 San Antonio(SAT) C208N1031PMartinaire -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Unknown  13:34 LXJ500 Rifle(RIL) CL5Flexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 17:29 17:26 LXJ565 Rifle(RIL) CL35N565FXFlexjet -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Landed 18:18 18:41  Dallas(DAL) C56XN539WA -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
Scheduled  07:53 BVN8754 Austin(AUS) C208Baron Aviation Services -,,,,,,,Brownwood Regional Airport(BWD/KBWD)
"Monday, Mar 11",,,,,,,Brownwood Regional Airport(BWD/KBWD)
18:10,,Tyler (TYR)-,-,BE20 (N98KC),,Landed 18:25,Brownwood Regional Airport(BWD/KBWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brownwood Regional Airport(BWD/KBWD)
07:53,BVN8754,Austin (AUS)-,FedEx Feeder -,C208 (N939FE),,Landed 08:04,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
08:32,MRA643,San Antonio (SAT)-,Martinaire -,C208 (N1031P),,Landed 08:24,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
13:34,LXJ500,Rifle (RIL)-,Flexjet -,CL5 (),,Unknown,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
17:26,LXJ565,Rifle (RIL)-,Flexjet -,CL35 (N565FX),,Landed 17:29,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
18:41,,Dallas (DAL)-,-,C56X (N539WA),,Landed 18:18,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Brownwood Regional Airport(BWD/KBWD)
18:10,,Tyler (TYR)-,-,BE20 (N98KC),,Landed 18:25,Brownwood Regional Airport(BWD/KBWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brownwood Regional Airport(BWD/KBWD)
07:53,BVN8754,Austin (AUS)-,FedEx Feeder -,C208 (N939FE),,Landed 08:04,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
08:32,MRA643,San Antonio (SAT)-,Martinaire -,C208 (N1031P),,Landed 08:24,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
13:34,LXJ500,Rifle (RIL)-,Flexjet -,CL5 (),,Unknown,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
17:26,LXJ565,Rifle (RIL)-,Flexjet -,CL35 (N565FX),,Landed 17:29,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
18:41,,Dallas (DAL)-,-,C56X (N539WA),,Landed 18:18,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Brownwood Regional Airport(BWD/KBWD)
18:10,,Tyler (TYR)-,-,BE20 (N98KC),,Landed 18:25,Brownwood Regional Airport(BWD/KBWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brownwood Regional Airport(BWD/KBWD)
07:53,BVN8754,Austin (AUS)-,FedEx Feeder -,C208 (N939FE),,Landed 08:04,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
08:32,MRA643,San Antonio (SAT)-,Martinaire -,C208 (N1031P),,Landed 08:24,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
13:34,LXJ500,Rifle (RIL)-,Flexjet -,CL5 (),,Unknown,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
17:26,LXJ565,Rifle (RIL)-,Flexjet -,CL35 (N565FX),,Landed 17:29,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
18:41,,Dallas (DAL)-,-,C56X (N539WA),,Landed 18:18,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Brownwood Regional Airport(BWD/KBWD)
18:10,,Tyler (TYR)-,-,BE20 (N98KC),,Landed 18:25,Brownwood Regional Airport(BWD/KBWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brownwood Regional Airport(BWD/KBWD)
07:53,BVN8754,Austin (AUS)-,FedEx Feeder -,C208 (N939FE),,Landed 08:04,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
08:32,MRA643,San Antonio (SAT)-,Martinaire -,C208 (N1031P),,Landed 08:24,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
13:34,LXJ500,Rifle (RIL)-,Flexjet -,CL5 (),,Unknown,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
17:26,LXJ565,Rifle (RIL)-,Flexjet -,CL35 (N565FX),,Landed 17:29,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
18:41,,Dallas (DAL)-,-,C56X (N539WA),,Landed 18:18,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Brownwood Regional Airport(BWD/KBWD)
18:10,,Tyler (TYR)-,-,BE20 (N98KC),,Landed 18:25,Brownwood Regional Airport(BWD/KBWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brownwood Regional Airport(BWD/KBWD)
07:53,BVN8754,Austin (AUS)-,FedEx Feeder -,C208 (N939FE),,Landed 08:04,Brownwood Regional Airport(BWD/KBWD),"Tuesday, Mar 12 2024"
