Load earlier flights,,,,,,,Anderson Regional Airport(AND/KAND)
Loading...,,,,,,,Anderson Regional Airport(AND/KAND)
"Sorry, we don't have any information about flights for this airport",,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 09:14  Sumter(SUM) BE58N58GL -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 12:52 11:18  Atlanta(PDK) S22TN631JM -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 11:18 11:37  Statesville(SVH) E145N138DE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 12:36  Winder(WDR) DA40N333WF -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:00 16:22  Athens(AHN) C68AN952PJ -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 09:14  Sumter(SUM) BE58N58GL -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 12:52 11:18  Atlanta(PDK) S22TN631JM -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 11:18 11:37  Statesville(SVH) E145N138DE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 12:36  Winder(WDR) DA40N333WF -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:00 16:22  Athens(AHN) C68AN952PJ -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 09:14  Sumter(SUM) BE58N58GL -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 12:52 11:18  Atlanta(PDK) S22TN631JM -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 11:18 11:37  Statesville(SVH) E145N138DE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 12:36  Winder(WDR) DA40N333WF -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:00 16:22  Athens(AHN) C68AN952PJ -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 09:14  Sumter(SUM) BE58N58GL -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 12:52 11:18  Atlanta(PDK) S22TN631JM -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 11:18 11:37  Statesville(SVH) E145N138DE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 12:36  Winder(WDR) DA40N333WF -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:00 16:22  Athens(AHN) C68AN952PJ -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 09:14  Sumter(SUM) BE58N58GL -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 12:52 11:18  Atlanta(PDK) S22TN631JM -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 11:18 11:37  Statesville(SVH) E145N138DE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:31 12:36  Winder(WDR) DA40N333WF -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:00 16:22  Athens(AHN) C68AN952PJ -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:45 RAX555 Pontiac(PTK) LJ55Royal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
09:14,,Sumter (SUM)-,-,BE58 (N58GL),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:18,,Atlanta (PDK)-,-,S22T (N631JM),,Landed 12:52,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:37,,Statesville (SVH)-,-,E145 (N138DE),,Landed 11:18,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
12:36,,Winder (WDR)-,-,DA40 (N333WF),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
16:22,,Athens (AHN)-,-,C68A (N952PJ),,Landed 17:00,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
09:14,,Sumter (SUM)-,-,BE58 (N58GL),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:18,,Atlanta (PDK)-,-,S22T (N631JM),,Landed 12:52,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:37,,Statesville (SVH)-,-,E145 (N138DE),,Landed 11:18,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
12:36,,Winder (WDR)-,-,DA40 (N333WF),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
16:22,,Athens (AHN)-,-,C68A (N952PJ),,Landed 17:00,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
09:14,,Sumter (SUM)-,-,BE58 (N58GL),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:18,,Atlanta (PDK)-,-,S22T (N631JM),,Landed 12:52,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:37,,Statesville (SVH)-,-,E145 (N138DE),,Landed 11:18,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
12:36,,Winder (WDR)-,-,DA40 (N333WF),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
16:22,,Athens (AHN)-,-,C68A (N952PJ),,Landed 17:00,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
09:14,,Sumter (SUM)-,-,BE58 (N58GL),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:18,,Atlanta (PDK)-,-,S22T (N631JM),,Landed 12:52,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:37,,Statesville (SVH)-,-,E145 (N138DE),,Landed 11:18,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
12:36,,Winder (WDR)-,-,DA40 (N333WF),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
16:22,,Athens (AHN)-,-,C68A (N952PJ),,Landed 17:00,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
09:14,,Sumter (SUM)-,-,BE58 (N58GL),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:18,,Atlanta (PDK)-,-,S22T (N631JM),,Landed 12:52,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
11:37,,Statesville (SVH)-,-,E145 (N138DE),,Landed 11:18,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
12:36,,Winder (WDR)-,-,DA40 (N333WF),,Landed 09:31,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
16:22,,Athens (AHN)-,-,C68A (N952PJ),,Landed 17:00,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
