Load earlier flights,,,,,,,Hayward Executive Airport(HWD/KHWD)
Loading...,,,,,,,Hayward Executive Airport(HWD/KHWD)
"Sorry, we don't have any information about flights for this airport",,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:14 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 09:50 08:19  Palm Springs(UDD) C56XN12JKPacific Coast Jet -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 17:29 17:14  San Diego(MYF) C510N1888 -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 19:00 19:19  Monterey(MRY) PA46N383WA -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Unknown  20:23 LJY976 Reno(RNO) CL35N819JRL.J. Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:36 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:14 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 09:50 08:19  Palm Springs(UDD) C56XN12JKPacific Coast Jet -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 17:29 17:14  San Diego(MYF) C510N1888 -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 19:00 19:19  Monterey(MRY) PA46N383WA -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Unknown  20:23 LJY976 Reno(RNO) CL35N819JRL.J. Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:36 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:14 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 09:50 08:19  Palm Springs(UDD) C56XN12JKPacific Coast Jet -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 17:29 17:14  San Diego(MYF) C510N1888 -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 19:00 19:19  Monterey(MRY) PA46N383WA -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Unknown  20:23 LJY976 Reno(RNO) CL35N819JRL.J. Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:36 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:14 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 09:50 08:19  Palm Springs(UDD) C56XN12JKPacific Coast Jet -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 17:29 17:14  San Diego(MYF) C510N1888 -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 19:00 19:19  Monterey(MRY) PA46N383WA -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Unknown  20:23 LJY976 Reno(RNO) CL35N819JRL.J. Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:36 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:14 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 09:50 08:19  Palm Springs(UDD) C56XN12JKPacific Coast Jet -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 17:29 17:14  San Diego(MYF) C510N1888 -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 19:00 19:19  Monterey(MRY) PA46N383WA -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Unknown  20:23 LJY976 Reno(RNO) CL35N819JRL.J. Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Landed 21:36 21:41 A8116 Burbank(BUR) BE99N4199CAmeriflight -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Estimated 07:09 07:04  San Diego(CLD) C750N713FLFlight Options -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  07:57  Van Nuys(VNY) E50PN500RB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:38  Fresno(FAT) C25BN543PD -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:44  Santa Ana(SNA) BE9LN365JC -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:04  Los Angeles(LAX) CL60N604BS -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:12  San Diego(MYF) S22TN23SB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  13:42 JL224 San Antonio(SAT) C750Jet Linx Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  03:45 LBQ494 Van Nuys(VNY) EP1Quest Diagnostics -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Estimated 07:09 07:04  San Diego(CLD) C750N713FLFlight Options -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  07:57  Van Nuys(VNY) E50PN500RB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:38  Fresno(FAT) C25BN543PD -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:44  Santa Ana(SNA) BE9LN365JC -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:04  Los Angeles(LAX) CL60N604BS -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:12  San Diego(MYF) S22TN23SB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  13:42 JL224 San Antonio(SAT) C750Jet Linx Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  03:45 LBQ494 Van Nuys(VNY) EP1Quest Diagnostics -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Estimated 07:09 07:04  San Diego(CLD) C750N713FLFlight Options -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  07:57  Van Nuys(VNY) E50PN500RB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:38  Fresno(FAT) C25BN543PD -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  08:44  Santa Ana(SNA) BE9LN365JC -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:04  Los Angeles(LAX) CL60N604BS -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  10:12  San Diego(MYF) S22TN23SB -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  13:42 JL224 San Antonio(SAT) C750Jet Linx Aviation -,,,,,,,Hayward Executive Airport(HWD/KHWD)
Scheduled  03:45 LBQ494 Van Nuys(VNY) EP1Quest Diagnostics -,,,,,,,Hayward Executive Airport(HWD/KHWD)
"Monday, Mar 11",,,,,,,Hayward Executive Airport(HWD/KHWD)
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:14,Hayward Executive Airport(HWD/KHWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Hayward Executive Airport(HWD/KHWD)
08:19,,Palm Springs (UDD)-,Pacific Coast Jet -,C56X (N12JK),,Landed 09:50,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
17:14,,San Diego (MYF)-,-,C510 (N1888),,Landed 17:29,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
19:19,,Monterey (MRY)-,-,PA46 (N383WA),,Landed 19:00,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
20:23,LJY976,Reno (RNO)-,L.J. Aviation -,CL35 (N819JR),,Unknown,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:36,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Hayward Executive Airport(HWD/KHWD)
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:14,Hayward Executive Airport(HWD/KHWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Hayward Executive Airport(HWD/KHWD)
08:19,,Palm Springs (UDD)-,Pacific Coast Jet -,C56X (N12JK),,Landed 09:50,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
17:14,,San Diego (MYF)-,-,C510 (N1888),,Landed 17:29,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
19:19,,Monterey (MRY)-,-,PA46 (N383WA),,Landed 19:00,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
20:23,LJY976,Reno (RNO)-,L.J. Aviation -,CL35 (N819JR),,Unknown,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:36,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Hayward Executive Airport(HWD/KHWD)
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:14,Hayward Executive Airport(HWD/KHWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Hayward Executive Airport(HWD/KHWD)
08:19,,Palm Springs (UDD)-,Pacific Coast Jet -,C56X (N12JK),,Landed 09:50,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
17:14,,San Diego (MYF)-,-,C510 (N1888),,Landed 17:29,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
19:19,,Monterey (MRY)-,-,PA46 (N383WA),,Landed 19:00,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
20:23,LJY976,Reno (RNO)-,L.J. Aviation -,CL35 (N819JR),,Unknown,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:36,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Hayward Executive Airport(HWD/KHWD)
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:14,Hayward Executive Airport(HWD/KHWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Hayward Executive Airport(HWD/KHWD)
08:19,,Palm Springs (UDD)-,Pacific Coast Jet -,C56X (N12JK),,Landed 09:50,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
17:14,,San Diego (MYF)-,-,C510 (N1888),,Landed 17:29,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
19:19,,Monterey (MRY)-,-,PA46 (N383WA),,Landed 19:00,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
20:23,LJY976,Reno (RNO)-,L.J. Aviation -,CL35 (N819JR),,Unknown,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:36,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Hayward Executive Airport(HWD/KHWD)
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:14,Hayward Executive Airport(HWD/KHWD),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Hayward Executive Airport(HWD/KHWD)
08:19,,Palm Springs (UDD)-,Pacific Coast Jet -,C56X (N12JK),,Landed 09:50,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
17:14,,San Diego (MYF)-,-,C510 (N1888),,Landed 17:29,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
19:19,,Monterey (MRY)-,-,PA46 (N383WA),,Landed 19:00,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
20:23,LJY976,Reno (RNO)-,L.J. Aviation -,CL35 (N819JR),,Unknown,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
21:41,A8116,Burbank (BUR)-,Ameriflight -,BE99 (N4199C),,Landed 21:36,Hayward Executive Airport(HWD/KHWD),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Hayward Executive Airport(HWD/KHWD)
07:04,,San Diego (CLD)-,Flight Options -,C750 (N713FL),,Estimated 07:09,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
07:57,,Van Nuys (VNY)-,-,E50P (N500RB),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
08:38,,Fresno (FAT)-,-,C25B (N543PD),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
08:44,,Santa Ana (SNA)-,-,BE9L (N365JC),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
10:04,,Los Angeles (LAX)-,-,CL60 (N604BS),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
10:12,,San Diego (MYF)-,-,S22T (N23SB),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
13:42,JL224,San Antonio (SAT)-,Jet Linx Aviation -,C750 (),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Wednesday, Mar 13 2024"
"Thursday, Mar 14",,,,,,,Hayward Executive Airport(HWD/KHWD)
03:45,LBQ494,Van Nuys (VNY)-,Quest Diagnostics -,EP1 (),,Scheduled,Hayward Executive Airport(HWD/KHWD),"Thursday, Mar 14 2024"
"Wednesday, Mar 13",,,,,,,Hayward Executive Airport(HWD/KHWD)
