Load earlier flights,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Loading...,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 10:03 10:01  Washington(WSG) PC12N302PB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 15:37 15:14  Cleveland(CLE) P46TN447CH -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 17:36 17:34 CNS568 El Paso(ELP) PC24N502PSPlaneSense -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 19:50 19:45 LXJ461 Scottsdale(SCF) GLF4N461FXFlexjet -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 10:03 10:01  Washington(WSG) PC12N302PB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 15:37 15:14  Cleveland(CLE) P46TN447CH -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 17:36 17:34 CNS568 El Paso(ELP) PC24N502PSPlaneSense -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 19:50 19:45 LXJ461 Scottsdale(SCF) GLF4N461FXFlexjet -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 10:03 10:01  Washington(WSG) PC12N302PB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 15:37 15:14  Cleveland(CLE) P46TN447CH -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 17:36 17:34 CNS568 El Paso(ELP) PC24N502PSPlaneSense -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 19:50 19:45 LXJ461 Scottsdale(SCF) GLF4N461FXFlexjet -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 10:03 10:01  Washington(WSG) PC12N302PB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 15:37 15:14  Cleveland(CLE) P46TN447CH -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 17:36 17:34 CNS568 El Paso(ELP) PC24N502PSPlaneSense -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 19:50 19:45 LXJ461 Scottsdale(SCF) GLF4N461FXFlexjet -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 10:03 10:01  Washington(WSG) PC12N302PB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 15:37 15:14  Cleveland(CLE) P46TN447CH -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 17:36 17:34 CNS568 El Paso(ELP) PC24N502PSPlaneSense -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Landed 19:50 19:45 LXJ461 Scottsdale(SCF) GLF4N461FXFlexjet -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
Scheduled  11:00  Marshall(MML) PC12N751FB -,,,,,,,Elkhart Municipal Airport(EKI/KEKM)
"Tuesday, Mar 12",,,,,,,Elkhart Municipal Airport(EKI/KEKM)
10:01,,Washington (WSG)-,-,PC12 (N302PB),,Landed 10:03,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
15:14,,Cleveland (CLE)-,-,P46T (N447CH),,Landed 15:37,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
17:34,CNS568,El Paso (ELP)-,PlaneSense -,PC24 (N502PS),,Landed 17:36,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
19:45,LXJ461,Scottsdale (SCF)-,Flexjet -,GLF4 (N461FX),,Landed 19:50,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
10:01,,Washington (WSG)-,-,PC12 (N302PB),,Landed 10:03,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
15:14,,Cleveland (CLE)-,-,P46T (N447CH),,Landed 15:37,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
17:34,CNS568,El Paso (ELP)-,PlaneSense -,PC24 (N502PS),,Landed 17:36,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
19:45,LXJ461,Scottsdale (SCF)-,Flexjet -,GLF4 (N461FX),,Landed 19:50,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
10:01,,Washington (WSG)-,-,PC12 (N302PB),,Landed 10:03,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
15:14,,Cleveland (CLE)-,-,P46T (N447CH),,Landed 15:37,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
17:34,CNS568,El Paso (ELP)-,PlaneSense -,PC24 (N502PS),,Landed 17:36,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
19:45,LXJ461,Scottsdale (SCF)-,Flexjet -,GLF4 (N461FX),,Landed 19:50,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
10:01,,Washington (WSG)-,-,PC12 (N302PB),,Landed 10:03,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
15:14,,Cleveland (CLE)-,-,P46T (N447CH),,Landed 15:37,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
17:34,CNS568,El Paso (ELP)-,PlaneSense -,PC24 (N502PS),,Landed 17:36,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
19:45,LXJ461,Scottsdale (SCF)-,Flexjet -,GLF4 (N461FX),,Landed 19:50,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
10:01,,Washington (WSG)-,-,PC12 (N302PB),,Landed 10:03,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
15:14,,Cleveland (CLE)-,-,P46T (N447CH),,Landed 15:37,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
17:34,CNS568,El Paso (ELP)-,PlaneSense -,PC24 (N502PS),,Landed 17:36,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
19:45,LXJ461,Scottsdale (SCF)-,Flexjet -,GLF4 (N461FX),,Landed 19:50,Elkhart Municipal Airport(EKI/KEKM),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Elkhart Municipal Airport(EKI/KEKM)
11:00,,Marshall (MML)-,-,PC12 (N751FB),,Scheduled,Elkhart Municipal Airport(EKI/KEKM),"Wednesday, Mar 13 2024"
