Load earlier flights,,,,,,,Greenville Majors Airport(GVT/KGVT)
Loading...,,,,,,,Greenville Majors Airport(GVT/KGVT)
"Sorry, we don't have any information about flights for this airport",,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:09 08:15 TRF572 Dallas(ADS) P28AN972TFThrust Flight -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:24 08:30 TRF569 Greenville(GVT) P28AN469TFPrivate owner -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:09 08:15 TRF572 Dallas(ADS) P28AN972TFThrust Flight -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:24 08:30 TRF569 Greenville(GVT) P28AN469TFPrivate owner -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:09 08:15 TRF572 Dallas(ADS) P28AN972TFThrust Flight -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:24 08:30 TRF569 Greenville(GVT) P28AN469TFPrivate owner -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:09 08:15 TRF572 Dallas(ADS) P28AN972TFThrust Flight -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:24 08:30 TRF569 Greenville(GVT) P28AN469TFPrivate owner -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:09 08:15 TRF572 Dallas(ADS) P28AN972TFThrust Flight -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Departed 08:24 08:30 TRF569 Greenville(GVT) P28AN469TFPrivate owner -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  11:40 11:30  Durant(DUA) P28AN2877M -,,,,,,,Greenville Majors Airport(GVT/KGVT)
Estimated dep.  14:30 14:30  Scottsdale(SCF) GLF5N626JEPegasus Elite Aviation -,,,,,,,Greenville Majors Airport(GVT/KGVT)
"Tuesday, Mar 12",,,,,,,Greenville Majors Airport(GVT/KGVT)
08:15,TRF572,Dallas (ADS)-,Thrust Flight -,P28A (N972TF),,Departed 08:09,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:30,TRF569,Greenville (GVT)-,Private owner -,P28A (N469TF),,Departed 08:24,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:15,TRF572,Dallas (ADS)-,Thrust Flight -,P28A (N972TF),,Departed 08:09,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:30,TRF569,Greenville (GVT)-,Private owner -,P28A (N469TF),,Departed 08:24,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:15,TRF572,Dallas (ADS)-,Thrust Flight -,P28A (N972TF),,Departed 08:09,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:30,TRF569,Greenville (GVT)-,Private owner -,P28A (N469TF),,Departed 08:24,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:15,TRF572,Dallas (ADS)-,Thrust Flight -,P28A (N972TF),,Departed 08:09,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:30,TRF569,Greenville (GVT)-,Private owner -,P28A (N469TF),,Departed 08:24,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:15,TRF572,Dallas (ADS)-,Thrust Flight -,P28A (N972TF),,Departed 08:09,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
08:30,TRF569,Greenville (GVT)-,Private owner -,P28A (N469TF),,Departed 08:24,Greenville Majors Airport(GVT/KGVT),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Greenville Majors Airport(GVT/KGVT)
11:30,,Durant (DUA)-,-,P28A (N2877M),,Estimated dep.  11:40,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
14:30,,Scottsdale (SCF)-,Pegasus Elite Aviation -,GLF5 (N626JE),,Estimated dep.  14:30,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
11:30,,Durant (DUA)-,-,P28A (N2877M),,Estimated dep.  11:40,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
14:30,,Scottsdale (SCF)-,Pegasus Elite Aviation -,GLF5 (N626JE),,Estimated dep.  14:30,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
11:30,,Durant (DUA)-,-,P28A (N2877M),,Estimated dep.  11:40,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
14:30,,Scottsdale (SCF)-,Pegasus Elite Aviation -,GLF5 (N626JE),,Estimated dep.  14:30,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
11:30,,Durant (DUA)-,-,P28A (N2877M),,Estimated dep.  11:40,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
14:30,,Scottsdale (SCF)-,Pegasus Elite Aviation -,GLF5 (N626JE),,Estimated dep.  14:30,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
11:30,,Durant (DUA)-,-,P28A (N2877M),,Estimated dep.  11:40,Greenville Majors Airport(GVT/KGVT),"Wednesday, Mar 13 2024"
