Load earlier flights,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Loading...,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
"Sorry, we don't have any information about flights for this airport",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:52 16:38  Ann Arbor(ARB) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:50 19:24  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 20:01 19:25  Ann Arbor(ARB) P28AN302FG -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 09:01 08:16  Ann Arbor(ARB) C172N1377S -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 08:51 09:08  Gaylord(GLR) B58TN80TZ -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 13:35 12:48  Ann Arbor(ARB) COL4N347CA -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 12:59 13:56  Marquette(MQT) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 14:47 14:53  Escanaba(ESC) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:02 16:53  Fort Wayne(FWA) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:01 17:58  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:52 16:38  Ann Arbor(ARB) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:50 19:24  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 20:01 19:25  Ann Arbor(ARB) P28AN302FG -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 09:01 08:16  Ann Arbor(ARB) C172N1377S -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 08:51 09:08  Gaylord(GLR) B58TN80TZ -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 13:35 12:48  Ann Arbor(ARB) COL4N347CA -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 12:59 13:56  Marquette(MQT) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 14:47 14:53  Escanaba(ESC) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:02 16:53  Fort Wayne(FWA) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:01 17:58  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:52 16:38  Ann Arbor(ARB) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:50 19:24  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 20:01 19:25  Ann Arbor(ARB) P28AN302FG -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 09:01 08:16  Ann Arbor(ARB) C172N1377S -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 08:51 09:08  Gaylord(GLR) B58TN80TZ -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 13:35 12:48  Ann Arbor(ARB) COL4N347CA -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 12:59 13:56  Marquette(MQT) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 14:47 14:53  Escanaba(ESC) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:02 16:53  Fort Wayne(FWA) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:01 17:58  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:52 16:38  Ann Arbor(ARB) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:50 19:24  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 20:01 19:25  Ann Arbor(ARB) P28AN302FG -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 09:01 08:16  Ann Arbor(ARB) C172N1377S -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 08:51 09:08  Gaylord(GLR) B58TN80TZ -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 13:35 12:48  Ann Arbor(ARB) COL4N347CA -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 12:59 13:56  Marquette(MQT) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 14:47 14:53  Escanaba(ESC) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:02 16:53  Fort Wayne(FWA) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:01 17:58  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:52 16:38  Ann Arbor(ARB) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:50 19:24  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 20:01 19:25  Ann Arbor(ARB) P28AN302FG -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 09:01 08:16  Ann Arbor(ARB) C172N1377S -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 08:51 09:08  Gaylord(GLR) B58TN80TZ -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 13:35 12:48  Ann Arbor(ARB) COL4N347CA -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 12:59 13:56  Marquette(MQT) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 14:47 14:53  Escanaba(ESC) SR22N811DR -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 17:02 16:53  Fort Wayne(FWA) C172N53703 -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
Landed 19:01 17:58  Ann Arbor(ARB) C172N6860H -,,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
"Monday, Mar 11",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
16:38,,Ann Arbor (ARB)-,-,C172 (N53703),,Landed 17:52,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:24,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:50,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:25,,Ann Arbor (ARB)-,-,P28A (N302FG),,Landed 20:01,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
08:16,,Ann Arbor (ARB)-,-,C172 (N1377S),,Landed 09:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
09:08,,Gaylord (GLR)-,-,B58T (N80TZ),,Landed 08:51,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
12:48,,Ann Arbor (ARB)-,-,COL4 (N347CA),,Landed 13:35,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
13:56,,Marquette (MQT)-,-,SR22 (N811DR),,Landed 12:59,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
14:53,,Escanaba (ESC)-,-,SR22 (N811DR),,Landed 14:47,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
16:53,,Fort Wayne (FWA)-,-,C172 (N53703),,Landed 17:02,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
17:58,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
16:38,,Ann Arbor (ARB)-,-,C172 (N53703),,Landed 17:52,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:24,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:50,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:25,,Ann Arbor (ARB)-,-,P28A (N302FG),,Landed 20:01,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
08:16,,Ann Arbor (ARB)-,-,C172 (N1377S),,Landed 09:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
09:08,,Gaylord (GLR)-,-,B58T (N80TZ),,Landed 08:51,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
12:48,,Ann Arbor (ARB)-,-,COL4 (N347CA),,Landed 13:35,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
13:56,,Marquette (MQT)-,-,SR22 (N811DR),,Landed 12:59,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
14:53,,Escanaba (ESC)-,-,SR22 (N811DR),,Landed 14:47,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
16:53,,Fort Wayne (FWA)-,-,C172 (N53703),,Landed 17:02,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
17:58,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
16:38,,Ann Arbor (ARB)-,-,C172 (N53703),,Landed 17:52,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:24,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:50,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:25,,Ann Arbor (ARB)-,-,P28A (N302FG),,Landed 20:01,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
08:16,,Ann Arbor (ARB)-,-,C172 (N1377S),,Landed 09:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
09:08,,Gaylord (GLR)-,-,B58T (N80TZ),,Landed 08:51,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
12:48,,Ann Arbor (ARB)-,-,COL4 (N347CA),,Landed 13:35,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
13:56,,Marquette (MQT)-,-,SR22 (N811DR),,Landed 12:59,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
14:53,,Escanaba (ESC)-,-,SR22 (N811DR),,Landed 14:47,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
16:53,,Fort Wayne (FWA)-,-,C172 (N53703),,Landed 17:02,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
17:58,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
16:38,,Ann Arbor (ARB)-,-,C172 (N53703),,Landed 17:52,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:24,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:50,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:25,,Ann Arbor (ARB)-,-,P28A (N302FG),,Landed 20:01,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
08:16,,Ann Arbor (ARB)-,-,C172 (N1377S),,Landed 09:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
09:08,,Gaylord (GLR)-,-,B58T (N80TZ),,Landed 08:51,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
12:48,,Ann Arbor (ARB)-,-,COL4 (N347CA),,Landed 13:35,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
13:56,,Marquette (MQT)-,-,SR22 (N811DR),,Landed 12:59,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
14:53,,Escanaba (ESC)-,-,SR22 (N811DR),,Landed 14:47,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
16:53,,Fort Wayne (FWA)-,-,C172 (N53703),,Landed 17:02,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
17:58,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
16:38,,Ann Arbor (ARB)-,-,C172 (N53703),,Landed 17:52,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:24,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:50,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
19:25,,Ann Arbor (ARB)-,-,P28A (N302FG),,Landed 20:01,Ann Arbor Municipal Airport(ARB/KARB),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Ann Arbor Municipal Airport(ARB/KARB)
08:16,,Ann Arbor (ARB)-,-,C172 (N1377S),,Landed 09:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
09:08,,Gaylord (GLR)-,-,B58T (N80TZ),,Landed 08:51,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
12:48,,Ann Arbor (ARB)-,-,COL4 (N347CA),,Landed 13:35,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
13:56,,Marquette (MQT)-,-,SR22 (N811DR),,Landed 12:59,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
14:53,,Escanaba (ESC)-,-,SR22 (N811DR),,Landed 14:47,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
16:53,,Fort Wayne (FWA)-,-,C172 (N53703),,Landed 17:02,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
17:58,,Ann Arbor (ARB)-,-,C172 (N6860H),,Landed 19:01,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Ann Arbor Municipal Airport(ARB/KARB),"Tuesday, Mar 12 2024"
