Load earlier flights,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Loading...,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Departed 01:17 01:00  Seattle(BFI) PC12N886LF -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Departed 06:27 06:30  Boise(BOI) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Departed 01:17 01:00  Seattle(BFI) PC12N886LF -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Departed 06:27 06:30  Boise(BOI) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  06:55 06:45  Pasco(PSC) C25BN370MR -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  14:48 14:42 EJA327 Palm Springs(UDD) -NetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
Estimated dep.  15:33 15:27 EJA444 Van Nuys(VNY) E55PNetJets -,,,,,,,Chehalis Centralia Airport(CLS/KCLS)
"Tuesday, Mar 12",,,,,,,Chehalis Centralia Airport(CLS/KCLS)
01:00,,Seattle (BFI)-,-,PC12 (N886LF),,Departed 01:17,Chehalis Centralia Airport(CLS/KCLS),"Tuesday, Mar 12 2024"
06:30,,Boise (BOI)-,-,C25B (N370MR),,Departed 06:27,Chehalis Centralia Airport(CLS/KCLS),"Tuesday, Mar 12 2024"
01:00,,Seattle (BFI)-,-,PC12 (N886LF),,Departed 01:17,Chehalis Centralia Airport(CLS/KCLS),"Tuesday, Mar 12 2024"
06:30,,Boise (BOI)-,-,C25B (N370MR),,Departed 06:27,Chehalis Centralia Airport(CLS/KCLS),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Chehalis Centralia Airport(CLS/KCLS)
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
06:45,,Pasco (PSC)-,-,C25B (N370MR),,Estimated dep.  06:55,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
14:42,EJA327,Palm Springs (UDD)-,NetJets -,() -,,Estimated dep.  14:48,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
15:27,EJA444,Van Nuys (VNY)-,NetJets -,E55P (),,Estimated dep.  15:33,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Chehalis Centralia Airport(CLS/KCLS),"Wednesday, Mar 13 2024"
