Load earlier flights,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Loading...,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
"Sorry, we don't have any information about flights for this airport",,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 07:50 06:55  Cincinnati(LUK) PRM1N215BD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:09 08:15  Joplin(JLN) BE9LN94HB -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:59 08:30  Little Rock(LIT) C25AN921SC -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:32 08:30  Atlanta(PDK) LJ40N479JS -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 13:41 13:30  Pell City(PLR) M600N656PD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 07:50 06:55  Cincinnati(LUK) PRM1N215BD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:09 08:15  Joplin(JLN) BE9LN94HB -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:59 08:30  Little Rock(LIT) C25AN921SC -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:32 08:30  Atlanta(PDK) LJ40N479JS -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 13:41 13:30  Pell City(PLR) M600N656PD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 07:50 06:55  Cincinnati(LUK) PRM1N215BD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:09 08:15  Joplin(JLN) BE9LN94HB -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:59 08:30  Little Rock(LIT) C25AN921SC -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:32 08:30  Atlanta(PDK) LJ40N479JS -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 13:41 13:30  Pell City(PLR) M600N656PD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 07:50 06:55  Cincinnati(LUK) PRM1N215BD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:09 08:15  Joplin(JLN) BE9LN94HB -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:59 08:30  Little Rock(LIT) C25AN921SC -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:32 08:30  Atlanta(PDK) LJ40N479JS -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 13:41 13:30  Pell City(PLR) M600N656PD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 07:50 06:55  Cincinnati(LUK) PRM1N215BD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:09 08:15  Joplin(JLN) BE9LN94HB -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:59 08:30  Little Rock(LIT) C25AN921SC -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 08:32 08:30  Atlanta(PDK) LJ40N479JS -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
Departed 13:41 13:30  Pell City(PLR) M600N656PD -,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
"Tuesday, Mar 12",,,,,,,Fayetteville Drake Field Airport(FYV/KFYV)
06:55,,Cincinnati (LUK)-,-,PRM1 (N215BD),,Departed 07:50,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:15,,Joplin (JLN)-,-,BE9L (N94HB),,Departed 08:09,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Little Rock (LIT)-,-,C25A (N921SC),,Departed 08:59,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Atlanta (PDK)-,-,LJ40 (N479JS),,Departed 08:32,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
13:30,,Pell City (PLR)-,-,M600 (N656PD),,Departed 13:41,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
06:55,,Cincinnati (LUK)-,-,PRM1 (N215BD),,Departed 07:50,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:15,,Joplin (JLN)-,-,BE9L (N94HB),,Departed 08:09,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Little Rock (LIT)-,-,C25A (N921SC),,Departed 08:59,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Atlanta (PDK)-,-,LJ40 (N479JS),,Departed 08:32,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
13:30,,Pell City (PLR)-,-,M600 (N656PD),,Departed 13:41,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
06:55,,Cincinnati (LUK)-,-,PRM1 (N215BD),,Departed 07:50,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:15,,Joplin (JLN)-,-,BE9L (N94HB),,Departed 08:09,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Little Rock (LIT)-,-,C25A (N921SC),,Departed 08:59,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Atlanta (PDK)-,-,LJ40 (N479JS),,Departed 08:32,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
13:30,,Pell City (PLR)-,-,M600 (N656PD),,Departed 13:41,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
06:55,,Cincinnati (LUK)-,-,PRM1 (N215BD),,Departed 07:50,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:15,,Joplin (JLN)-,-,BE9L (N94HB),,Departed 08:09,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Little Rock (LIT)-,-,C25A (N921SC),,Departed 08:59,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Atlanta (PDK)-,-,LJ40 (N479JS),,Departed 08:32,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
13:30,,Pell City (PLR)-,-,M600 (N656PD),,Departed 13:41,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
06:55,,Cincinnati (LUK)-,-,PRM1 (N215BD),,Departed 07:50,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:15,,Joplin (JLN)-,-,BE9L (N94HB),,Departed 08:09,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Little Rock (LIT)-,-,C25A (N921SC),,Departed 08:59,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
08:30,,Atlanta (PDK)-,-,LJ40 (N479JS),,Departed 08:32,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
13:30,,Pell City (PLR)-,-,M600 (N656PD),,Departed 13:41,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Fayetteville Drake Field Airport(FYV/KFYV),"Tuesday, Mar 12 2024"
